Trade_Date,Market,Symbol,Direction,Entry_Price,EMA20_1h,Price_to_EMA20_Pct,Max_Gain_30h_Pct,Max_Drawdown_30h_Pct,Close_minus_1h_Pct,Close_minus_2h_Pct,Close_minus_3h_Pct,Close_minus_4h_Pct,Close_minus_5h_Pct
2026-08-09 08:45:50,FUTURES,BTCUSDT,SHORT,64962.6,64886.84415106881,0.11675070643721108,0.8006145074242697,-1.7759449283125939,0.11796289642857694,0.09013388895319899,-0.0016976985381249765,-0.045200075899108044,0.06946813650951944
2026-08-09 10:32:28,FUTURES,BTCUSDT,LONG,65127.3,64919.22543498413,0.32051301231906376,0.5457004973336744,-2.05643409138718,0.010320108191696917,-0.008625018097133945,0.11796289642857694,0.09013388895319899,-0.0016976985381249765
2026-08-09 19:14:23,FUTURES,BTCUSDT,LONG,65413.7,65061.339459876785,0.5415820563308763,-0.06130214312903649,-2.4852592041116726,0.07817047306190435,-0.060012401539753304,-0.021329781438795735,-0.004449900260858455,-0.05306374090171329
2026-08-11 09:25:51,FUTURES,BTCUSDT,SHORT,64273.0,64215.841240757385,0.08901037211101208,0.11342243243663973,-1.651393275558946,0.23829808442605202,-0.11776419159626808,0.26704185631525457,0.12197083632014427,0.14341570222082747
2026-08-11 10:23:53,FUTURES,BTCUSDT,LONG,64201.5,64213.761768539705,-0.019095234731619146,0.05996744624346784,-1.5418642866599712,-0.08561444289237878,0.23829808442605202,-0.11776419159626808,0.26704185631525457,0.12197083632014427
2026-08-11 11:25:04,FUTURES,BTCUSDT,SHORT,63901.8,64155.42757857536,-0.39533300322053994,0.45382133210645087,-1.0800947704133597,-0.2003010736635123,-0.08561444289237878,0.23829808442605202,-0.11776419159626808,0.26704185631525457
2026-08-11 12:41:30,FUTURES,BTCUSDT,SHORT,63459.4,64103.49365226133,-1.0047715273605924,1.154123738957509,-0.39048588546378143,-0.6659976563863494,-0.2003010736635123,-0.08561444289237878,0.23829808442605202,-0.11776419159626808
2026-08-11 17:07:36,FUTURES,BTCUSDT,SHORT,63685.5,63849.32275736589,-0.2565771261011357,0.7950004318094431,-0.2829529484733528,0.2462412690896176,-0.357973642696376,0.144278097608226,-0.1522364445870396,-0.253658995717441
2026-08-11 22:59:33,FUTURES,BTCUSDT,SHORT,63790.9,63781.956337197575,0.014022245970544037,0.6284595451702382,-0.3390765767531151,0.2284024413263655,-0.10936242960579015,0.00015713017449077224,-0.12444915945814068,0.3342859617216639
2026-08-12 03:15:05,FUTURES,BTCUSDT,LONG,63666.7,63767.79336327075,-0.1585335761813911,0.8247639660921735,-0.09942403171515979,0.10071030570755164,-0.08291523054039328,0.12162090059099913,-0.11505423537526091,0.12367147332274944
2026-08-10 11:54:27,SPOT,BTCUSDT,LONG,64656.28,64984.88355400533,-0.5056615262413301,0.08529720546867445,-2.193568822703686,-0.47597723164908196,-0.3919019721469115,0.17368817895974367,0.07052785373058747,-0.4266036105434326
2026-08-11 08:02:55,FUTURES,ETHUSDT,SHORT,1891.71,1883.9654753814598,0.4110757187295147,1.2311612245005823,-2.087529272457195,0.031303388193843214,0.3311046759219843,0.09164340060953663,0.1798801155075817,0.010676517533513346
2026-08-11 09:09:59,FUTURES,ETHUSDT,LONG,1897.0,1884.1307770573794,0.6830323616240499,0.9488666315234582,-2.3605693199789126,0.358019911211062,0.031303388193843214,0.3311046759219843,0.09164340060953663,0.1798801155075817
2026-08-11 10:35:25,FUTURES,ETHUSDT,LONG,1883.69,1884.6828425695537,-0.052679556853185414,1.6621630947767383,-1.6706570614060712,-0.27006743758323465,0.358019911211062,0.031303388193843214,0.3311046759219843,0.09164340060953663
2026-08-11 16:48:57,FUTURES,ETHUSDT,SHORT,1873.82,1876.1088008454471,-0.12199723408449396,2.1976497208910173,0.22627573619664693,0.083701764175642,-0.012339121990998783,0.10687432867884045,-0.5697747067021992,-0.8781215925812179
2026-08-12 01:21:03,FUTURES,ETHUSDT,LONG,1890.6,1880.3519986923882,0.545004409532804,1.290595578123352,-0.32582249021473897,0.10191894259097449,-0.014860970315222415,0.12754220849963016,-0.0037198427037908564,0.009034719897102266
2026-08-10 11:26:17,SPOT,ETHUSDT,LONG,1899.18,1915.2539826893126,-0.8392611546350714,-0.07266293874198913,-2.398930064554185,-0.4407135362014738,-0.7508774122327445,0.13922565506453255,0.07096676563746941,-0.5402740294789212
2026-08-11 08:02:58,FUTURES,SOLUSDT,SHORT,76.2,76.04620848632638,0.2022342950881993,0.8923884514435598,-2.1391076115485688,0.0791139240506359,-0.06588483331136798,0.3039915411049484,-0.1451761911046581,0.013199577613504362
